sse_rd101_g01_resnet50dd: num_classes=11, Params: 63.82M, FLOPs: 4.42G
sse_rd101_g08_resnet50dd: num_classes=11, Params: 28.61M, FLOPs: 4.38G
sse_rd101_g16_resnet50dd: num_classes=11, Params: 26.09M, FLOPs: 4.38G
sse_rd101_g32_resnet50dd: num_classes=11, Params: 24.84M, FLOPs: 4.38G
sse_rd101_g64_resnet50dd: num_classes=11, Params: 24.21M, FLOPs: 4.38G
sse_rd101_ada_resnet50dd: num_classes=11, Params: 24.55M, FLOPs: 4.38G
sse_rd102_g01_resnet50dd: num_classes=11, Params: 43.68M, FLOPs: 4.40G
sse_rd102_g08_resnet50dd: num_classes=11, Params: 26.08M, FLOPs: 4.38G
sse_rd102_g16_resnet50dd: num_classes=11, Params: 24.82M, FLOPs: 4.38G
sse_rd102_g32_resnet50dd: num_classes=11, Params: 24.19M, FLOPs: 4.38G
sse_rd102_g64_resnet50dd: num_classes=11, Params: 23.88M, FLOPs: 4.38G
sse_rd102_ada_resnet50dd: num_classes=11, Params: 24.05M, FLOPs: 4.38G
sse_rd104_g01_resnet50dd: num_classes=11, Params: 33.62M, FLOPs: 4.38G
sse_rd104_g08_resnet50dd: num_classes=11, Params: 24.81M, FLOPs: 4.38G
sse_rd104_g16_resnet50dd: num_classes=11, Params: 24.19M, FLOPs: 4.38G
sse_rd104_g32_resnet50dd: num_classes=11, Params: 23.87M, FLOPs: 4.38G
sse_rd104_g64_resnet50dd: num_classes=11, Params: 23.71M, FLOPs: 4.38G
sse_rd104_ada_resnet50dd: num_classes=11, Params: 23.80M, FLOPs: 4.38G
sse_rd108_g01_resnet50dd: num_classes=11, Params: 28.58M, FLOPs: 4.38G
sse_rd108_g08_resnet50dd: num_classes=11, Params: 24.18M, FLOPs: 4.38G
sse_rd108_g16_resnet50dd: num_classes=11, Params: 23.87M, FLOPs: 4.38G
sse_rd108_g32_resnet50dd: num_classes=11, Params: 23.71M, FLOPs: 4.38G
sse_rd108_ada_resnet50dd: num_classes=11, Params: 23.67M, FLOPs: 4.38G
sse_rd116_g01_resnet50dd: num_classes=11, Params: 26.07M, FLOPs: 4.38G
sse_rd116_g08_resnet50dd: num_classes=11, Params: 23.87M, FLOPs: 4.38G
sse_rd116_g16_resnet50dd: num_classes=11, Params: 23.71M, FLOPs: 4.38G
sse_rd116_ada_resnet50dd: num_classes=11, Params: 23.61M, FLOPs: 4.37G
sse_rd132_g01_resnet50dd: num_classes=11, Params: 24.81M, FLOPs: 4.38G
sse_rd132_g08_resnet50dd: num_classes=11, Params: 23.71M, FLOPs: 4.38G
sse_rd132_ada_resnet50dd: num_classes=11, Params: 23.58M, FLOPs: 4.37G
